agent,episode,num_nodes,num_services,episodes,seed,reward,placed_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,0,5,8,50,111,-48.41808649106971,0.75,2,4,0.43211249999999995,0.43650500000000003,0.85075,0.77945,0.24492254898232624,0.2096031609971567,1,21.165644373710126,2.981076672353539,6,52.46564437371012,7.389527376578889
Random,1,5,8,50,111,-83.13714756320016,0.75,2,3,0.4766324999999999,0.5020374999999999,0.8933,0.8629,0.2993279173415002,0.3214574892190256,2,12.403298382420969,2.0467489079902585,7,48.40329838242097,7.9873429673961995
Random,2,5,8,50,111,-184.09124664580634,0.75,2,4,0.4795249999999999,0.646465,0.93255,0.977675,0.28722209525034803,0.26712735275051863,2,14.08898785442345,2.141183564502044,4,45.18898785442345,6.867627333499005
Random,3,5,8,50,111,-105.49534718012804,0.75,2,4,0.40783749999999996,0.57817875,0.8156,0.926575,0.22141813272629682,0.2880101759703987,3,16.346986469917244,2.5542166359245697,5,42.246986469917246,6.60109163592457
Random,4,5,8,50,111,-96.52359650311598,1.0,0,4,0.38346749999999996,0.5804837500000001,0.686625,0.9481,0.21373894263797602,0.30573490262194475,2,25.59059766774216,3.8252014451034615,0,25.59059766774216,3.8252014451034615
Random,5,5,8,50,111,-66.32295323527379,0.625,3,4,0.5765425000000001,0.5613049999999999,0.8388500000000001,0.8443499999999999,0.18812224841841546,0.2210273343672678,1,11.652613321009028,2.1420245075384243,4,45.75261332100903,8.410406860479602
Random,6,5,8,50,111,-78.670636842628,0.625,3,4,0.5314675,0.5371824999999999,0.80795,0.877475,0.24916475944643535,0.26708300074602276,1,17.541508529571406,2.8384318009015215,6,54.64150852957141,8.841668046856215
Random,7,5,8,50,111,-145.02456539941863,0.625,3,4,0.610235,0.41664625,0.9855999999999999,0.6160875,0.2388258018933465,0.14340318814011774,1,18.56063324495127,3.399383378196203,4,49.76063324495127,9.113669092481919
Random,8,5,8,50,111,-19.259344675247352,0.875,1,4,0.5033525,0.5185525,0.6434500000000001,0.7730625,0.09233545987322533,0.23254998177811154,0,31.3280867444145,4.52064743786645,2,50.2280867444145,7.247920165139177
Random,9,5,8,50,111,-53.343518565224635,0.75,2,5,0.5485,0.42452000000000006,0.87305,0.525025,0.2565918875373888,0.10252174421799505,1,22.853794546489727,3.53227118183767,6,52.35379454648972,8.091776591420357
Random,10,5,8,50,111,-43.94747306218785,0.75,2,5,0.578345,0.5594825,0.7287,0.829575,0.14328923755816417,0.2906790200977704,1,14.150812922765446,2.024436755760436,6,53.35081292276545,7.632448200681753
Random,11,5,8,50,111,-151.19684496932274,0.5,4,3,0.3989,0.4020125,0.75005,0.9513625,0.21778083248991403,0.3250385359845814,1,19.474831548164037,2.9066912758453785,7,60.674831548164036,9.055945007188662
Random,12,5,8,50,111,-66.93145883498275,0.625,3,4,0.504685,0.40693625000000005,0.785175,0.849925,0.23867132714257905,0.30107407945346276,1,4.028913823006785,0.5813728460327251,7,52.02891382300678,7.507779772439651
Random,13,5,8,50,111,-133.68262743223772,0.5,4,2,0.4528225,0.41182375000000004,0.8904,0.881425,0.3405426717387998,0.28929478414110754,2,5.4094810480412985,1.005479748706561,6,52.0094810480413,9.667189785881282
Random,14,5,8,50,111,-92.69408383577792,0.75,2,4,0.4206250000000001,0.39249625,0.9453499999999999,0.5692125,0.29208178135583873,0.1662576797850253,1,17.01139483611812,2.9229200749343853,3,40.41139483611812,6.943538631635416
Random,15,5,8,50,111,-202.9204169507038,0.625,3,4,0.43791250000000004,0.47063125,0.9867,0.93905,0.3556516555915352,0.3219432565491938,1,11.09015743857767,1.7772688202848832,5,45.790157438577666,7.338166256182319
Random,16,5,8,50,111,-57.60378709221004,0.625,3,4,0.49624499999999994,0.31329875,0.76205,0.58085,0.2633056600227196,0.1926993652850211,0,8.663110695259538,1.3286979593956347,6,54.56311069525954,8.36857526000913
Random,17,5,8,50,111,-59.774901239627965,0.75,2,3,0.442,0.38075000000000003,0.857725,0.7897000000000001,0.30383432204081223,0.2744318499190646,1,15.6773537602853,2.5286054452073063,4,47.3773537602853,7.641508671013758
Random,18,5,8,50,111,-58.44103047538241,0.75,2,5,0.5634724999999999,0.5035375,0.880225,0.6847624999999999,0.17935773338498678,0.20048209334002873,1,34.3562454352481,5.577312570657159,2,48.656245435248096,7.898741142085729
Random,19,5,8,50,111,-68.97738087085646,0.875,1,5,0.5055225,0.5914237499999999,0.8988499999999999,0.8706,0.26029522210367206,0.24456223582914433,3,14.719041363811511,2.852527396087502,2,30.51904136381151,5.914542899963471
Random,20,5,8,50,111,-177.51182257357257,0.875,1,4,0.5840975,0.5881325000000001,0.9073,0.9443375,0.2763923997688793,0.20651510925353622,2,33.95372749052387,4.906608018861831,2,42.353727490523866,6.120480851231773
Random,21,5,8,50,111,-261.2731884195029,0.625,3,3,0.5170625,0.6170387500000001,0.90175,0.9898499999999999,0.26660596017343646,0.39290550717538947,3,7.62524793503894,1.3169685552744281,6,49.625247935038935,8.57085456563712
Random,22,5,8,50,111,-197.7726257992994,0.875,1,4,0.634735,0.58621375,0.97005,0.983025,0.30570550068652674,0.2678266362780222,2,31.659502866731305,4.697255618209392,2,46.959502866731306,6.967285291799897
Random,23,5,8,50,111,-32.7274984492718,0.875,1,4,0.40946999999999995,0.5513712500000001,0.5554250000000001,0.8270500000000001,0.11066850658611059,0.26163017414854883,2,22.590007948936393,3.1951920719853453,2,35.490007948936395,5.0198031045171705
Random,24,5,8,50,111,-243.47155831728998,0.625,3,3,0.5494225,0.38451749999999996,0.992175,0.656875,0.3914138950969932,0.19565274653068382,2,7.01616574928102,0.9558808922726187,7,52.81616574928102,7.195662908621394
Random,25,5,8,50,111,-179.75224493375208,0.75,2,4,0.50774,0.534425,0.991225,0.900375,0.35314973403642824,0.2796599992624973,2,17.25076176259406,2.8703430553401095,4,44.75076176259406,7.4460502100822055
Random,26,5,8,50,111,-102.8359971730106,0.75,2,4,0.4152325,0.53428125,0.6125750000000001,0.9538625000000001,0.15021151661906623,0.3190199948181148,2,13.71216641569038,2.642035918244775,5,43.61216641569038,8.403114916317994
Random,27,5,8,50,111,-83.98756519697592,0.75,2,3,0.36587000000000003,0.4917725,0.77485,0.9294125,0.2170806954798146,0.28452190286953305,1,10.562394691151427,1.6375805722715393,5,47.062394691151425,7.29649530095371
Random,28,5,8,50,111,-21.716926117860485,0.875,1,4,0.45872999999999997,0.4222625,0.574275,0.7018,0.1167245383370609,0.19060798383068847,0,26.948089415679995,3.696582910244169,1,35.64808941567999,4.889998548104251
